,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66
36594,3454581,Riacho de Pedra,Riacho de Pedra,-13.3,-44.56667,H,STM,BR,,5.0,,,,0,,520,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36595,3454582,Praia da Pedra,Praia da Pedra,-23.00247,-43.64067,T,BCH,BR,,21.0,3304557.0,,,0,,9,America/Sao_Paulo,2016-06-22,Praia da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36596,3454583,Pico da Pedra,Pico da Pedra,-16.23333,-47.05,T,HLL,BR,,15.0,3170404.0,,,0,,695,America/Sao_Paulo,2013-02-09,Pico da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36597,3454584,Lagoa de Pedra,Lagoa de Pedra,-21.25,-56.55,H,LK,BR,,11.0,,,,0,,393,America/Campo_Grande,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36598,3454585,Lagoa da Pedra,Lagoa da Pedra,-16.25,-43.78333,H,LK,BR,,15.0,,,,0,,530,America/Bahia,2012-12-05,Lagoa da Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36599,3454586,Lagoa da Pedra,Lagoa da Pedra,-14.98333,-45.3,H,LK,BR,,15.0,,,,0,,815,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36600,3454587,Lagoa da Pedra,Lagoa da Pedra,-14.46667,-42.05,H,LK,BR,,5.0,,,,0,,574,America/Bahia,1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36601,3454588,Córrego de Pedra,Corrego de Pedra,-17.2,-50.83333,H,STM,BR,,29.0,,,,0,,706,America/Sao_Paulo,2013-02-09,Corrego de Pedra,Córrego de Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36602,3454589,Córrego de Pedra,Corrego de Pedra,-16.73333,-39.41667,H,STM,BR,,5.0,,,,0,,104,America/Bahia,2012-12-05,Corrego de Pedra,Córrego de Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36603,3454590,Córrego de Pedra,Corrego de Pedra,-16.1,-40.53333,H,STM,BR,,15.0,,,,0,,284,America/Bahia,2012-01-19,Corrego Pedras,Corrego de Pedra,Córrego Pedras,Córrego de Pedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
