90032,7691705,Ilha Jererê de Dentro,Ilha Jerere de Dentro,-25.47897,-48.58286,T,ISL,BR,,18.0,,,,0,,6,America/Sao_Paulo,2012-01-21,Ilha Jerere de Dentro,Ilha Jererê de Dentro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90033,7691706,Ilha Jererê de Fora,Ilha Jerere de Fora,-25.4827,-48.58206,T,ISL,BR,,18.0,,,,0,,-9999,America/Sao_Paulo,2012-01-21,Ilha Jerere de Fora,Ilha Jererê de Fora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90034,7691708,Laje Grande,Laje Grande,-25.4839,-48.5102,H,RF,BR,,18.0,,,,0,,-9999,America/Sao_Paulo,2012-01-21,Laje Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90035,7691709,Telecomunicações do Paraná,Telecomunicacoes do Parana,-25.42598,-48.71259,L,INDS,BR,,18.0,,,,0,,49,America/Sao_Paulo,2012-01-21,Telecomunicacoes do Parana,Telecomunicações do Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90036,7691710,Cambarú,Cambaru,-25.44656,-48.5678,P,PPLL,BR,,18.0,4118204.0,,,0,,25,America/Sao_Paulo,2012-08-03,Cambaru,Cambarú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90037,7691711,Telecomunicações do Paraná,Telecomunicacoes do Parana,-25.46956,-48.50732,L,INDS,BR,,18.0,,,,0,,44,America/Sao_Paulo,2012-01-21,Telecomunicacoes do Parana,Telecomunicações do Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90038,7691712,Telecomunicações do Paraná,Telecomunicacoes do Parana,-25.45952,-48.57666,S,BLDG,BR,,18.0,4118204.0,,,0,,34,America/Sao_Paulo,2012-08-03,Telecomunicacoes do Parana,Telecomunicações do Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90039,7691714,Assembléia de Deus,Assembleia de Deus,-25.25591,-48.74007,S,CH,BR,,18.0,4101200.0,,,0,,18,America/Sao_Paulo,2012-08-03,Assembleia de Deus,Assembléia de Deus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90040,7691822,Fazenda Cruzeiro,Fazenda Cruzeiro,-25.75731,-48.99972,S,FRM,BR,,18.0,4125506.0,,,0,,829,America/Sao_Paulo,2012-08-03,Fazenda Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90041,7691823,Serra da Maria,Serra da Maria,-25.7584,-48.94213,T,MTS,BR,,18.0,,,,0,,768,America/Sao_Paulo,2012-01-21,Serra da Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90042,7691824,Sítio Sebastião O. Nogueira,Sitio Sebastiao O. Nogueira,-25.7779,-48.92809,P,PPL,BR,,18.0,4125506.0,,,0,,360,America/Sao_Paulo,2012-08-03,Sitio Sebastiao O. Nogueira,Sítio Sebastião O. Nogueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90043,7691825,Sítio Celso Siqueira,Sitio Celso Siqueira,-25.77345,-48.96978,P,PPL,BR,,18.0,4125506.0,,,0,,712,America/Sao_Paulo,2012-08-03,Sitio Celso Siqueira,Sítio Celso Siqueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90044,7691826,Chácara Antônio Mate,Chacara Antonio Mate,-25.77342,-48.9762,S,FRM,BR,,18.0,4125506.0,,,0,,743,America/Sao_Paulo,2012-08-03,Chacara Antonio Mate,Chácara Antônio Mate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90045,7691827,Colônia Santos Andrade,Colonia Santos Andrade,-25.76288,-48.98973,L,LCTY,BR,,18.0,,,,0,,801,America/Sao_Paulo,2012-01-21,Colonia Santos Andrade,Colônia Santos Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046,7691828,Escola Colônia Santos Andrade,Escola Colonia Santos Andrade,-25.77178,-48.98603,S,SCH,BR,,18.0,4125506.0,,,0,,775,America/Sao_Paulo,2012-08-03,Escola Colonia Santos Andrade,Escola Colônia Santos Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047,7691829,Sítio Eduardo Ferreira,Sitio Eduardo Ferreira,-25.77004,-48.9919,P,PPL,BR,,18.0,4125506.0,,,0,,831,America/Sao_Paulo,2012-08-03,Sitio Eduardo Ferreira,Sítio Eduardo Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90048,7691830,Sítio Antônio Grochi,Sitio Antonio Grochi,-25.77119,-48.99126,P,PPL,BR,,18.0,4125506.0,,,0,,820,America/Sao_Paulo,2012-08-03,Sitio Antonio Grochi,Sítio Antônio Grochi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90049,7691831,Sítio Euclides Grochika,Sitio Euclides Grochika,-25.77428,-48.99476,P,PPL,BR,,18.0,4125506.0,,,0,,797,America/Sao_Paulo,2012-08-03,Sitio Euclides Grochika,Sítio Euclides Grochika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90050,7691832,Sítio Ivo Kramar,Sitio Ivo Kramar,-25.78807,-48.98843,P,PPL,BR,,18.0,4125506.0,,,0,,800,America/Sao_Paulo,2012-08-03,Sitio Ivo Kramar,Sítio Ivo Kramar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90051,7691833,Ribeirão da Vaca,Ribeirao da Vaca,-25.78648,-48.91739,H,STM,BR,,18.0,,,,0,,322,America/Sao_Paulo,2012-01-21,Ribeirao da Vaca,Ribeirão da Vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
