,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52
3286,3663674,Cachoeira das Lajes,Cachoeira das Lajes,-923.333,-6.193.333,H,FLLS,BR,BR,24,,,,0,,146,America/Porto_Velho,19/01/2012,Cachoeira das Lages,Cachoeira das Lajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,3663675,Laje,Laje,-9.8,-6.243.333,P,PPL,BR,,24,1100023.0,,,0,,127,America/Porto_Velho,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3288,3663676,Lago Verde,Lago Verde,-848.333,-62.55,P,PPL,BR,,24,1100205.0,,,0,,95,America/Porto_Velho,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3289,3663677,Rio Lagoinha,Rio Lagoinha,-751.667,-72.5,H,STM,BR,,0,,,,0,,190,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3290,3663678,Lagoinha,Lagoinha,-751.667,-73.5,P,PPL,BR,,1,1200336.0,,,0,,248,America/Rio_Branco,23/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291,3663679,Ilha Lago do Carão,Ilha Lago do Carao,-253.333,-6.096.667,T,ISL,BR,,4,,,,0,,12,America/Manaus,05/12/2018,Ilha Lago do Carao,Ilha Lago do Carão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3292,3663680,Lago de Santo Antônio,Lago de Santo Antonio,-6.75,-62.35,P,PPL,BR,,4,1301704.0,,,0,,49,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293,3663681,Lagoa da Vila,Lagoa da Vila,-0.11667,-63.95,P,PPL,BR,,4,1300409.0,,,0,,60,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,3663682,Igarapé do Lago,Igarape do Lago,-9.05,-6.061.667,H,STM,BR,,14,,,,0,,154,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295,3663683,Lábrea,Labrea,-818.437,-66.075,A,ADM2,BR,,4,1302405.0,,,46882,,127,America/Porto_Velho,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,3663684,Lábrea,Labrea,-726.435,-6.479.638,P,PPL,BR,,4,1302405.0,,,0,,65,America/Manaus,16/09/2017,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297,3663685,Juventina,Juventina,326.667,-6.131.667,P,PPL,BR,,25,1400050.0,,,0,,119,America/Boa_Vista,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,3663686,Igarapé Jutica,Igarape Jutica,-363.333,-64.3,H,STM,BR,BR,4,,,,0,,72,America/Manaus,11/06/2020,Igarape Camacua,Igarape Jutica,Igarapé Jutica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,3663687,Jutica,Jutica,-364.997,-6.425.686,P,PPL,BR,,4,1304203.0,,,0,,71,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,3663688,Rio Jutaizinho,Rio Jutaizinho,-590.853,-6.961.781,H,STM,BR,,4,,,,0,,125,America/Eirunepe,22/08/2021,Jutaizinho River,Rio Jutaizinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301,3663689,Igarapé Jutaìzinho,Igarape Jutaizinho,-483.333,-69.3,H,STM,BR,BR,4,,,,0,,137,America/Porto_Velho,19/01/2012,Igarape Jutaisinho,Igarape Jutaizinho,Igarapé Jutaisinho,Igarapé Jutaìzinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3302,3663690,Rio Jutaí,Rio Jutai,-273.871,-6.677.869,H,STM,BR,,4,,,,0,,50,America/Manaus,22/08/2021,Jutai River,Jutaí River,Rio Jutahy,Rio Jutai,Rio Jutaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,3663691,Lago Jutaí,Lago Jutai,-215.919,-6.535.839,H,LK,BR,,4,,,,0,,30,America/Manaus,07/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3304,3663692,Cachoeira Jutaí,Cachoeira Jutai,-7.55,-6.188.333,H,FLLS,BR,,4,,,,0,,78,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,3663693,Jutaí,Jutai,-518.333,-68.9,P,PPL,BR,,4,1302306.0,,,5862,,92,America/Manaus,05/12/2018,Jutai,Jutaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,3663694,Jutaí,Jutai,-275.404,-6.675.214,P,PPL,BR,,4,1302306.0,,,0,,61,America/Manaus,11/06/2020,Foz do Jutahy,Foz do Jutai,Foz do Jutaí,Jutahy,Jutai,Jutaí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,3663695,Rio Jurupari,Rio Jurupari,-7.75,-7.016.667,H,STM,BR,BR,0,,,,0,,192,America/Porto_Velho,02/07/2021,Rio Jurupari,Rio Jurupary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,3663696,Rio Jurupari,Rio Jurupari,128.333,-64.2,H,STM,BR,,4,,,,0,,130,America/Boa_Vista,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,3663697,Lago Jurupari,Lago Jurupari,-363.333,-6.928.333,H,LK,BR,,4,,,,0,,75,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310,3663698,Ilha Jurupari,Ilha Jurupari,-3.8,-62.45,T,ISL,BR,BR,4,,,,0,,26,America/Manaus,19/01/2012,Ilha Jurupari,Ilha Jurupary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,3663699,Ilha Jurupari,Ilha Jurupari,-371.667,-6.933.333,T,ISL,BR,BR,4,,,,0,,72,America/Porto_Velho,19/01/2012,Ilha Jurupari,Ilha Jurupary,Jurupari Tapira Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312,3663700,Igarapé Jurupari,Igarape Jurupari,-793.333,-72,H,STM,BR,,1,,,,0,,221,America/Eirunepe,08/09/2021,Igarape Jurupari,Igarapé Jurupari,Jurupari River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,3663701,Igarapé Jurupari,Igarape Jurupari,-224.651,-6.495.345,H,STM,BR,BR,4,1302801.0,,,0,,66,America/Manaus,22/08/2021,Igarape Jurupari,Igarapé Jurupari,Jurupari River,Rio Jurupari,Rio Jurupary,Rio Maiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,3663702,Cachoeira Jurupari,Cachoeira Jurupari,161.667,-6.888.333,H,FLLS,BR,,4,,,,0,,137,America/Boa_Vista,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3315,3663703,Rio Juruàzinho,Rio Juruazinho,-866.667,-6.243.333,H,STM,BR,,24,,,,0,,96,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3316,3663704,Rio Juruàzinho,Rio Juruazinho,-601.667,-69.5,H,STM,BR,BR,4,,,,0,,132,America/Porto_Velho,19/01/2012,Rio Juruasinho,Rio Juruazinho,Rio Juruàzinho,Rio Juruásinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3317,3663705,Rio Juruá-Mirim,Rio Jurua-Mirim,-812.667,-7.280.833,H,STM,BR,,1,,,,0,,185,America/Eirunepe,02/07/2021,Jurua-Mirim River,Juruá-Mirim River,Rio Jurua-Mirim,Rio Juruá-Mirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,3663706,Río Yuruá,Rio Yurua,-261.667,-6.573.333,H,STM,BR,PE,0,,,,0,,36,America/Manaus,11/05/2021,Jurua River,Juruá River,Rio Jurua,Rio Juruá,Rio Yurua,Río Yuruá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3319,3663707,Igarapé Furo do Juruá,Igarape Furo do Jurua,-9.15,-70.25,H,STM,BR,BR,1,,,,0,,246,America/Eirunepe,19/01/2012,Furo do Jurua,Furo do Juruá,Igarape Furo do Jurua,Igarape do Jurua,Igarapé Furo do Juruá,Igarapé do Juruá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3320,3663708,Juruá,Jurua,-403.333,-6.638.333,P,PPL,BR,,4,1302207.0,,,0,,67,America/Manaus,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,3663709,Juruá,Jurua,-348.111,-6.606.889,P,PPL,BR,BR,4,1302207.0,,,0,,56,America/Manaus,03/08/2012,Paranagua,Paranaguá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,3663710,Igarapé Juritipari,Igarape Juritipari,-826.667,-6.991.667,H,STM,BR,,0,,,,0,,200,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,3663711,Lago Juricia,Lago Juricia,-776.667,-65.1,H,LK,BR,,4,,,,0,,75,America/Porto_Velho,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,3663712,Jurícia,Juricia,-7.8,-65.1,P,PPL,BR,BR,4,1302405.0,,,0,,69,America/Manaus,11/06/2020,Juricia,Juricia Labrea,Jurícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
