geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3391437,Serra Portalegre,Serra Portalegre,,-603.333,-3.798.333,T,MT,BR,,22,2410207.0,,,0,,659,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391438,Portalegre,Portalegre,Pont' Alegre$Portalegri$bo er ta lai ge li$porta'alegre$??????????$????????????$??????,-602.389,-3.798.778,P,PPL,BR,BR,22,2410207.0,,,0,,650,America/Fortaleza,03/08/2012,Pont' Alegre,Portalegri,bo er ta lai ge li,porta'alegre,??????????,????????????,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391439,Porta d’Agua,Porta d'Agua,,-59.425,-3.627.389,P,PPL,BR,,22,2402709.0,,,0,,333,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391440,Serra da Porta,Serra da Porta,,-7.05,-41,T,UPLD,BR,,20,,,,0,,425,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391441,Riacho da Porta,Riacho da Porta,,-743.333,-4.373.333,H,STMI,BR,,20,,,,0,,199,America/Araguaina,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391442,Lagoa da Porta,Lagoa da Porta,,-401.667,-42.8,H,LK,BR,,20,,,,0,,41,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391443,Ilha Porquinhos,Ilha Porquinhos,Ilha Porquinho$Ilha Porquinhos,-0.47341,-5.120.131,T,ISL,BR,,16,,,,0,,24,America/Belem,05/06/2013,Ilha Porquinho,Ilha Porquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391444,Pororoca,Pororoca,,-536.667,-35.7,P,PPL,BR,,22,2414407.0,,,0,,171,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391445,Riacho Por-enquanto,Riacho Por-enquanto,,-598.333,-4.323.333,H,STMI,BR,,13,,,,0,,183,America/Araguaina,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391446,Por-Enquanto,Por-Enquanto,Por-Enquanto$Vargem,-861.667,-4.566.667,P,PPL,BR,BR,20,2209203.0,,,0,,292,America/Fortaleza,03/08/2012,Por-Enquanto,Vargem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391447,Lagoa do Poré,Lagoa do Pore,,-53.925,-3.687.639,H,LK,BR,,22,,,,0,,12,America/Fortaleza,16/10/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391448,Pore,Pore,,-560.194,-3.728.833,P,PPL,BR,,22,2414605.0,,,0,,40,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391449,Serra dos Porcos,Serra dos Porcos,,-6.9,-3.683.333,T,HLL,BR,,17,2513406.0,,,0,,497,America/Recife,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391450,Rio dos Porcos,Rio dos Porcos,Ribeirao dos Porcos$Ribeirão dos Porcos$Rio dos Porcos,-831.667,-4.653.333,H,STM,BR,BR,31,,,,0,,417,America/Araguaina,19/01/2012,Ribeirao dos Porcos,Ribeirão dos Porcos,Rio dos Porcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391451,Ribeirão dos Porcos,Ribeirao dos Porcos,,-6.45,-4.821.667,H,STM,BR,,31,,,,0,,155,America/Araguaina,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391452,Riacho dos Porcos,Riacho dos Porcos,,-976.667,-3.918.333,H,STMI,BR,,5,,,,0,,428,America/Bahia,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
