geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
7777558,Sítio Santa Rosa,Sitio Santa Rosa,Sitio Santa Rosa$Sítio Santa Rosa,-2.384.719,-503.307,P,PPL,BR,,18,4109708,,,0,,571,America/Sao_Paulo,03/08/2012
7777559,Sítio Carvãozinho,Sitio Carvaozinho,Sitio Carvaozinho$Sítio Carvãozinho,-238.498,-5.033.385,P,PPL,BR,,18,4109708,,,0,,575,America/Sao_Paulo,03/08/2012
7777560,Bairro Carvãozinho,Bairro Carvaozinho,Bairro Carvaozinho$Bairro Carvãozinho,-238.543,-503.308,L,LCTY,BR,,18,,,,0,,589,America/Sao_Paulo,21/01/2012
7777561,Escola Rui Barbosa,Escola Rui Barbosa,Escola Rui Barbosa,-2.385.458,-5.033.749,S,SCH,BR,,18,4109708,,,0,,646,America/Sao_Paulo,03/08/2012
7777562,Sítio Amora-Preta,Sitio Amora-Preta,Sitio Amora-Preta$Sítio Amora-Preta,-2.385.759,-5.034.371,P,PPL,BR,,18,4109708,,,0,,619,America/Sao_Paulo,03/08/2012
7777563,Sítio José Vidal,Sitio Jose Vidal,Sitio Jose Vidal$Sítio José Vidal,-2.386.029,-503.499,P,PPL,BR,,18,4109708,,,0,,606,America/Sao_Paulo,03/08/2012
7777564,Fazenda Boa Vista,Fazenda Boa Vista,Fazenda Boa Vista,-2.386.832,-5.035.561,S,FRM,BR,,18,4109708,,,0,,615,America/Sao_Paulo,03/08/2012
7777565,Fazenda São José,Fazenda Sao Jose,Fazenda Sao Jose$Fazenda São José,-2.386.841,-503.482,S,FRM,BR,,18,4109708,,,0,,637,America/Sao_Paulo,03/08/2012
7777566,Sítio Jabuticabal,Sitio Jabuticabal,Sitio Jabuticabal$Sítio Jabuticabal,-2.386.071,-5.034.192,P,PPL,BR,,18,4109708,,,0,,637,America/Sao_Paulo,03/08/2012
7777567,Sítio Okada,Sitio Okada,Sitio Okada$Sítio Okada,-2.386.176,-5.033.323,P,PPL,BR,,18,4109708,,,0,,636,America/Sao_Paulo,03/08/2012
