geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80,othername81,othername82,othername83,othername84,othername85,othername86,othername87,othername88,othername89,othername90,othername91,othername92,othername93,othername94,othername95,othername96,othername97,othername98
3461470,Iguaçuzinho,Iguacuzinho,,-2.458.333,-5.328.333,P,PPL,BR,,18,4116703.0,,,0,,491,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461471,Río Iguazú,Rio Iguazu,Iguazu River$Rio Iguacu$Rio Iguassu$Rio Iguazu$Rio Iguaçu$Río Iguazú,-25.6,-54.6,H,STM,BR,AR,0,,,,0,,172,America/Campo_Grande,15/04/2021,Iguazu River,Rio Iguacu,Rio Iguassu,Rio Iguazu,Rio Iguaçu,Río Iguazú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461472,Parque Nacional do Iguaçu,Parque Nacional do Iguacu,,-25.5,-53.8,L,PRK,BR,,18,,,,0,,265,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461473,Iguaçu,Iguacu,Iguacu$Iguaçu$Sub-sede-Iguacu$Sub-sede-Iguaçu,-2.611.667,-5.066.667,P,PPL,BR,BR,18,4118709.0,,,0,,767,America/Sao_Paulo,03/08/2012,Iguacu,Iguaçu,Sub-sede-Iguacu,Sub-sede-Iguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461474,Iguaçu,Iguacu,Iguacu$Iguaçu,-2.265.571,-4.341.703,P,PPL,BR,,21,3303500.0,,,0,,11,America/Sao_Paulo,21/02/2019,Iguacu,Iguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461475,Iguaçu,Iguacu,Iguacu$Iguaçu,-1.971.667,-42.35,P,PPL,BR,,15,3107802.0,,,0,,297,America/Sao_Paulo,05/12/2012,Iguacu,Iguaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461476,Iguaçu,Iguacu,,-1.293.333,-4.106.667,P,PPL,BR,,5,2915007.0,,,0,,357,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461477,Iguaba Grande,Iguaba Grande,,-2.283.917,-4.222.889,P,PPL,BR,,21,3301876.0,,,11104,,17,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461478,Iguaba,Iguaba,Bebedouro$Iguaba,-1.028.347,-3.792.598,P,PPL,BR,,5,2909208.0,,,0,,205,America/Bahia,11/01/2013,Bebedouro,Iguaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461479,Iguá,Igua,Angicos,-1.494.444,-4.094.583,P,PPLL,BR,BR,5,2933307.0,,,0,,824,America/Bahia,03/08/2012,Angicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
