,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27
308,7694028,Sítio Eduardo A. dos Anjos,Sitio Eduardo A. dos Anjos,-258.344,-494.407,P,PPL,BR,,18.0,4121208.0,,,0,,890,America/Sao_Paulo,03/08/2012,Sitio Eduardo A. dos Anjos,Sítio Eduardo A. dos Anjos,,,,,,,,,,,,,,,,,,,,,,,,,,
309,7694029,Sítio Vitória Setleka,Sitio Vitoria Setleka,-258.406,-494.329,P,PPL,BR,,18.0,4121208.0,,,0,,917,America/Sao_Paulo,03/08/2012,Sitio Vitoria Setleka,Sítio Vitória Setleka,,,,,,,,,,,,,,,,,,,,,,,,,,
310,7694030,Sítio Dórica de Moura,Sitio Dorica de Moura,-258.331,-49.449,P,PPL,BR,,18.0,4121208.0,,,0,,871,America/Sao_Paulo,03/08/2012,Sitio Dorica de Moura,Sítio Dórica de Moura,,,,,,,,,,,,,,,,,,,,,,,,,,
311,7694031,Sítio Paulo Gogolo,Sitio Paulo Gogolo,-2.584.174,-4.945.617,P,PPL,BR,,18.0,4121208.0,,,0,,862,America/Sao_Paulo,03/08/2012,Sitio Paulo Gogolo,Sítio Paulo Gogolo,,,,,,,,,,,,,,,,,,,,,,,,,,
312,7694032,Brancos,Brancos,-258.483,-494.494,P,PPLL,BR,,18.0,4121208.0,,,0,,863,America/Sao_Paulo,03/08/2012,Brancos,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,7694033,Sítio Luiz Ribeiro,Sitio Luiz Ribeiro,-2.584.339,-4.945.837,P,PPL,BR,,18.0,4121208.0,,,0,,851,America/Sao_Paulo,03/08/2012,Sitio Luiz Ribeiro,Sítio Luiz Ribeiro,,,,,,,,,,,,,,,,,,,,,,,,,,
314,7694034,Sítio Vitor Franco,Sitio Vitor Franco,-25.833,-494.643,P,PPL,BR,,18.0,4121208.0,,,0,,866,America/Sao_Paulo,03/08/2012,Sitio Vitor Franco,Sítio Vitor Franco,,,,,,,,,,,,,,,,,,,,,,,,,,
315,7694035,Sítio Benedito Moura,Sitio Benedito Moura,-258.396,-494.641,P,PPL,BR,,18.0,4121208.0,,,0,,853,America/Sao_Paulo,03/08/2012,Sitio Benedito Moura,Sítio Benedito Moura,,,,,,,,,,,,,,,,,,,,,,,,,,
316,7694036,Turvo,Turvo,-2.584.716,-4.948.273,L,LCTY,BR,,18.0,,,,0,,853,America/Sao_Paulo,21/01/2012,Turvo,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,7694037,Sítio José V. Miranda,Sitio Jose V. Miranda,-258.385,-494.775,P,PPL,BR,,18.0,4121208.0,,,0,,849,America/Sao_Paulo,03/08/2012,Sitio Jose V. Miranda,Sítio José V. Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,
