,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30
4601,11351389,Piranha,Piranha,-388.423,-3.841.833,P,PPL,BR,,6.0,2301000.0,,,0,,26,America/Fortaleza,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602,11351390,Sítio Guarda,Sitio Guarda,-403.504,-3.842.511,P,PPL,BR,,6.0,2301000.0,,,0,,54,America/Fortaleza,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603,11351391,Sítio Zé Maria,Sitio Ze Maria,-405.276,-3.843.058,P,PPL,BR,,6.0,2301000.0,,,0,,56,America/Fortaleza,25/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4604,11377077,Praia do Balbino,Praia do Balbino,-402.128,-3.821.397,T,BCH,BR,,6.0,2303501.0,,,0,,7,America/Fortaleza,07/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605,11377078,Balbino,Balbino,-402.192,-3.822.123,P,PPL,BR,,6.0,2303501.0,,,0,,12,America/Fortaleza,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4606,11377080,Praia do Batoque,Praia do Batoque,-400.086,-3.822.888,T,BCH,BR,,6.0,2301000.0,,,0,,9,America/Fortaleza,07/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4607,11377082,Vila dos Martins,Vila dos Martins,-402.408,-3.824.029,P,PPL,BR,,6.0,2301000.0,,,0,,11,America/Fortaleza,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4608,11395705,Campos Eliseos,Campos Eliseos,-2.352.963,-4.665.225,P,PPLX,BR,,27.0,3550308.0,9.0,,0,629.0,745,America/Sao_Paulo,27/10/2018,Campos Eliseos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,11395706,Praça Princesa Isabel,Praca Princesa Isabel,-2.353.286,-4.664.425,P,PPLX,BR,,27.0,3550308.0,9.0,,0,629.0,753,America/Sao_Paulo,27/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4610,11398117,Tanques,Tanques,-406.535,-3.843.112,P,PPL,BR,,6.0,2301000.0,,,0,,61,America/Fortaleza,29/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
