geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80
3446988,Ribeirão Tamboril,Ribeirao Tamboril,Ribeirao Tamboril$Ribeirão Tamboril,-16.3,-46.95,H,STM,BR,,15,,,,0,,566,America/Sao_Paulo,09/02/2013,Ribeirao Tamboril,Ribeirão Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446989,Riacho do Tamboril,Riacho do Tamboril,,-1.366.667,-4.268.333,H,STMI,BR,,5,,,,0,,836,America/Bahia,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446990,Córrego do Tamboril,Corrego do Tamboril,Corrego do Tamboril$Córrego do Tamboril,-1.651.667,-4.133.333,H,STM,BR,,15,,,,0,,242,America/Bahia,05/12/2012,Corrego do Tamboril,Córrego do Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446991,Córrego Tamboril,Corrego Tamboril,Corrego Tamboril$Córrego Tamboril,-19.35,-5.013.333,H,STM,BR,,15,,,,0,,468,America/Sao_Paulo,09/02/2013,Corrego Tamboril,Córrego Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446992,Córrego Tamboril,Corrego Tamboril,Corrego Tamboril$Córrego Tamboril,-19.05,-49.05,H,STM,BR,,15,,,,0,,666,America/Sao_Paulo,09/02/2013,Corrego Tamboril,Córrego Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446993,Córrego Tamboril,Corrego Tamboril,Corrego Tamboril$Córrego Tamboril,-1.866.667,-5.021.667,H,STM,BR,,29,,,,0,,404,America/Sao_Paulo,09/02/2013,Corrego Tamboril,Córrego Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446994,Córrego Tamboril,Corrego Tamboril,Corrego Tamboril$Córrego Tamboril,-17.65,-41.9,H,STM,BR,,15,,,,0,,571,America/Bahia,05/12/2012,Corrego Tamboril,Córrego Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446995,Córrego Tamboril,Corrego Tamboril,Corrego Tamboril$Córrego Tamboril,-1.693.333,-4.543.333,H,STM,BR,,15,,,,0,,479,America/Sao_Paulo,09/02/2013,Corrego Tamboril,Córrego Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446996,Tamboril,Tamboril,Tamboril,-1.616.667,-4.088.333,P,PPL,BR,,15,3101706.0,,,0,,468,America/Sao_Paulo,05/12/2012,Tamboril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446997,Tamboril,Tamboril,,-15.95,-4.383.333,P,PPL,BR,,15,3162401.0,,,0,,596,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446998,Tamboril,Tamboril,,-15.6,-4.086.667,P,PPL,BR,,5,2910404.0,,,0,,869,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446999,Tamboril,Tamboril,,-1.391.667,-42.15,P,PPL,BR,,5,2918753.0,,,0,,547,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447000,Tamboril,Tamboril,,-1.122.694,-4.109.694,P,PPLL,BR,,5,2921708.0,,,0,,711,America/Bahia,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447001,Tamboretes,Tamboretes,Ilhas Tamboretes$Tamboretes$Tamboretes Islands,-2.637.801,-4.852.341,T,ISLS,BR,,26,4216206.0,,,0,,-9999,America/Sao_Paulo,13/06/2016,Ilhas Tamboretes,Tamboretes,Tamboretes Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447002,Tamboara,Tamboara,,-2.320.028,-5.246.861,P,PPL,BR,,18,4126702.0,,,0,,401,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447003,Rio Tambaú,Rio Tambau,Rio Tambau$Rio Tambaú,-2.156.667,-4.708.333,H,STM,BR,,27,,,,0,,553,America/Sao_Paulo,05/03/2013,Rio Tambau,Rio Tambaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447004,Córrego Tambaú,Corrego Tambau,Corrego Tambau$Córrego Tambaú,-16.8,-5.076.667,H,STM,BR,,29,,,,0,,578,America/Sao_Paulo,09/02/2013,Corrego Tambau,Córrego Tambaú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447005,Tambaú,Tambau,Tambahu$Tambahú,-21.705,-4.727.444,P,PPL,BR,,27,3553302.0,,,19956,,703,America/Sao_Paulo,03/08/2012,Tambahu,Tambahú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447006,Arroio Tambaquaré,Arroio Tambaquare,,-2.986.667,-53.6,H,STM,BR,,23,,,,0,,48,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447007,Tamarineiro,Tamarineiro,,-1.536.667,-5.996.667,P,PPL,BR,,14,5105507.0,,,0,,201,America/Cuiaba,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447008,Tamarana,Tamarana,Sao Roque$São Roque,-2.372.333,-5.109.722,P,PPL,BR,BR,18,4126678.0,,,0,,774,America/Sao_Paulo,03/08/2012,Sao Roque,São Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447009,Ribeirão Tamanduete,Ribeirao Tamanduete,,-2.318.333,-5.336.667,H,STM,BR,,18,,,,0,,281,America/Sao_Paulo,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447010,Tamanduàzinho,Tamanduazinho,Tamanduazinha$Tamanduazinho$Tamanduàzinho,-2.136.667,-4.761.667,S,RSTP,BR,BR,27,3550902.0,,,0,,551,America/Sao_Paulo,11/06/2020,Tamanduazinha,Tamanduazinho,Tamanduàzinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447011,Tamanduapava,Tamanduapava,Tamanduapava,-19.55,-4.678.333,S,RSTN,BR,,15,3129509.0,,,0,,1027,America/Sao_Paulo,09/02/2013,Tamanduapava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447012,Vereda do Tamanduá,Vereda do Tamandua,Vereda do Tamandua$Vereda do Tamanduá,-17.5,-4.658.333,H,STMI,BR,,15,,,,0,,541,America/Sao_Paulo,09/02/2013,Vereda do Tamandua,Vereda do Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447013,Serra do Tamanduá,Serra do Tamandua,Serra do Tamandua$Serra do Tamanduá,-2.641.667,-5.041.667,T,MTS,BR,,26,,,,0,,824,America/Sao_Paulo,05/12/2018,Serra do Tamandua,Serra do Tamanduá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
