,geonameid,name,asciiname,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73
3638,7537633,Saco dos Meros,Saco dos Meros,-2.307.584,-4.356.038,H,COVE,BR,,21,,,,0,,-9999,America/Sao_Paulo,22/12/2017,Saco dos Meros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3639,7537634,Parque Estadual da Pedra Branca,Parque Estadual da Pedra Branca,-2.295.072,-4.348.579,L,PRK,BR,,21,3304557.0,24.0,,0,,191,America/Sao_Paulo,17/03/2019,Parque Estadual da Pedra Branca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3640,7537635,Praia dos Buzios,Praia dos Buzios,-2.307.369,-4.355.654,T,BCH,BR,,21,3304557.0,,,0,,19,America/Sao_Paulo,22/12/2017,Praia dos Buzios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3641,7537636,Pedra da Tartaruga,Pedra da Tartaruga,-2.307.311,-4.355.035,T,HLL,BR,,21,3304557.0,,,0,101.0,11,America/Sao_Paulo,22/12/2017,Pedra da Tartaruga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,7537637,Praia do Perigoso,Praia do Perigoso,-2.307.173,-4.355.238,T,BCH,BR,,21,3304557.0,,,0,,8,America/Sao_Paulo,22/12/2017,Praia do Perigoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3643,7537638,Morro Guaratiba Mirim,Morro Guaratiba Mirim,-230.666,-4.355.779,T,MT,BR,,21,3304557.0,,,0,331.0,292,America/Sao_Paulo,22/12/2017,Morro Guaratiba Mirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,7537639,Praia do Meio,Praia do Meio,-2.306.639,-4.355.101,T,BCH,BR,,21,3304557.0,,,0,,0,America/Sao_Paulo,22/12/2017,Praia do Meio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,7537640,Morro São João da Mantiqueíra,Morro Sao Joao da Mantiqueira,-2.305.783,-4.355.557,T,HLL,BR,,21,3304557.0,,,0,269.0,164,America/Sao_Paulo,03/08/2012,Morro Sao Joao da Mantiqueira,Morro São João da Mantiqueíra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,7537641,Rio João Correia,Rio Joao Correia,-2.305.185,-4.356.281,H,STM,BR,,21,,,,0,,3,America/Sao_Paulo,21/01/2012,Rio Joao Correia,Rio João Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647,7537642,Campo de São João,Campo de Sao Joao,-2.304.864,-4.355.837,H,MGV,BR,,21,,,,0,,7,America/Sao_Paulo,21/01/2012,Campo de Sao Joao,Campo de São João,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,7537643,Canal da Varzinha,Canal da Varzinha,-2.305.669,-4.356.128,H,STM,BR,,21,,,,0,,5,America/Sao_Paulo,21/01/2012,Canal da Varzinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,7537644,Araçatiba,Aracatiba,-2.304.461,-4.355.456,P,PPLX,BR,,21,3304557.0,,,0,,6,America/Sao_Paulo,03/08/2012,Aracatiba,Araçatiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,7537645,Garganta do Grumari,Garganta do Grumari,-2.304.844,-4.354.989,T,GRGE,BR,,21,,,,0,,102,America/Sao_Paulo,21/01/2012,Garganta do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651,7537646,Morro do Grumari,Morro do Grumari,-2.305.325,-4.354.401,T,HLL,BR,,21,3304557.0,,,0,221.0,104,America/Sao_Paulo,03/08/2012,Morro do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3652,7537647,Praia do Inferno,Praia do Inferno,-2.305.755,-4.354.494,T,BCH,BR,,21,3304557.0,,,0,,109,America/Sao_Paulo,22/06/2016,Praia do Inferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,7537648,Costão do Grumari,Costao do Grumari,-2.305.495,-435.392,L,CST,BR,,21,,,,0,,106,America/Sao_Paulo,21/01/2012,Costao do Grumari,Costão do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,7537649,Rio do Mundo,Rio do Mundo,-2.305.073,-4.353.592,H,STM,BR,,21,,,,0,,8,America/Sao_Paulo,21/01/2012,Rio do Mundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655,7537650,Morro do Breves,Morro do Breves,-2.304.513,-4.354.774,T,MT,BR,,21,3304557.0,,,0,327.0,225,America/Sao_Paulo,03/08/2012,Morro do Breves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,7537651,Parque Natural Municipal de Grumari,Parque Natural Municipal de Grumari,-2.304.353,-4.352.929,L,PRK,BR,,21,,,,0,,20,America/Sao_Paulo,21/01/2012,Parque Natural Municipal de Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,7537652,Campo do Grumari,Campo do Grumari,-2.304.594,-4.352.992,L,FLD,BR,,21,,,,0,,17,America/Sao_Paulo,21/01/2012,Campo do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,7537653,Praia do Abricó,Praia do Abrico,-230.466,-4.351.423,T,BCH,BR,,21,3304557.0,,,0,,79,America/Sao_Paulo,22/06/2016,Praia do Abrico,Praia do Abricó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3659,7537654,Lagoa Feia,Lagoa Feia,-2.304.001,-4.352.052,P,PPLX,BR,,21,3304557.0,,,0,,36,America/Sao_Paulo,03/08/2012,Lagoa Feia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,7537655,Pedra dos Cabritos,Pedra dos Cabritos,-2.304.066,-4.351.382,T,MT,BR,,21,3304557.0,,,0,98.0,269,America/Sao_Paulo,03/08/2012,Pedra dos Cabritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,7537656,Prainha,Prainha,-2.303.965,-4.350.528,T,BCH,BR,,21,3304557.0,,,0,,9,America/Sao_Paulo,22/06/2016,Prainha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662,7537657,Prainha,Prainha,-2.303.805,-4.350.653,P,PPLX,BR,,21,3304557.0,,,0,,65,America/Sao_Paulo,03/08/2012,Prainha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,7537658,Parque Municipal Ecológico da Prainha,Parque Municipal Ecologico da Prainha,-230.355,-4.350.413,L,PRK,BR,,21,,,,0,,165,America/Sao_Paulo,21/01/2012,Parque Municipal Ecologico da Prainha,Parque Municipal Ecológico da Prainha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3664,7537659,Morro da Prainha,Morro da Prainha,-23.033,-4.350.233,T,MT,BR,,21,3304557.0,,,0,104.0,309,America/Sao_Paulo,03/08/2012,Morro da Prainha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3665,7537660,Morro Caeté,Morro Caete,-2.303.129,-4.350.627,T,MT,BR,,21,3304557.0,,,0,124.0,273,America/Sao_Paulo,03/08/2012,Morro Caete,Morro Caeté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,7537661,Serra de Piabas,Serra de Piabas,-2.303.313,-4.351.186,T,MTS,BR,,21,,,,0,138.0,355,America/Sao_Paulo,21/01/2012,Serra de Piabas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3667,7537662,Morro das Piabas,Morro das Piabas,-2.303.276,-435.228,T,MT,BR,,21,3304557.0,,,0,347.0,243,America/Sao_Paulo,03/08/2012,Morro das Piabas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3668,7537663,Serra do Grumari,Serra do Grumari,-2.303.345,-4.353.565,T,MTS,BR,,21,,,,0,,235,America/Sao_Paulo,21/01/2012,Serra do Grumari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3669,7537664,Rio das Almas,Rio das Almas,-2.304.742,-4.352.271,H,STM,BR,,21,,,,0,,11,America/Sao_Paulo,21/01/2012,Rio das Almas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,7537665,Morro da Faxina,Morro da Faxina,-2.303.606,-4.354.107,T,MT,BR,,21,3304557.0,,,0,410.0,287,America/Sao_Paulo,03/08/2012,Morro da Faxina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,7537666,Garganta de Itapuca,Garganta de Itapuca,-2.303.382,-4.354.906,T,GRGE,BR,,21,,,,0,,114,America/Sao_Paulo,21/01/2012,Garganta de Itapuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
